[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\Lib\difflib.py first seen with mtime 1636461516.2172616
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\Lib\pkgutil.py first seen with mtime 1636461517.1208274
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\Lib\contextvars.py first seen with mtime 1635933054.4863942
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\DLLs\_lzma.pyd first seen with mtime 1653053231.817928
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\opc finis\P12\venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1659516289.400249
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\opc finis\P12\venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1659516289.533333
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\opc finis\P12\venv\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1659516289.3632407
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\opc finis\P12\venv\Lib\site-packages\django\forms\models.py first seen with mtime 1659516289.4651768
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3568.0_x64__qbz5n2kfra8p0\Lib\hashlib.py first seen with mtime 1635933055.6530406
[2022/Oct/18 17:13:19] DEBUG [autoreload.py:394] File C:\opc finis\P12\venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1659516287.412464
